Network,OR versus FR,OR versus AFR,OR versus LR,FR versus LR,AFR versus LR,edges:GAP:nodes,OR versus FR,OR versus AFR,OR versus RES,FR versus RES,AFR versus RES,nodes:GAP:others,EBC versus LR,DIS versus LR,DEG versus RES,BC versus RES,CC versus RES,spearman:GAP:pearson,OR versus FR,OR versus AFR,OR versus LR,FR versus LR,AFR versus LR,edges:GAP:nodes,OR versus FR,OR versus AFR,OR versus RES,FR versus RES,AFR versus RES,nodes:GAP:others,EBC versus LR,DIS versus LR,DEG versus RES,BC versus RES,CC versus RES
Model networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER n=1000 p=0.003,0.89,0.9,0.81,0.91,0.91,edges:GAP:nodes,0.97,0.97,0.8,0.82,0.82,nodes:GAP:others,-0.75,nan,-0.94,-0.89,-0.08,spearman:GAP:pearson,0.79,0.79,0.62,0.9,0.9,edges:GAP:nodes,0.94,0.94,0.78,0.78,0.78,nodes:GAP:others,-0.76,nan,-0.94,-0.77,-0.01
ER n=1000 p=0.007,0.39,0.44,0.42,0.92,0.91,edges:GAP:nodes,0.97,0.97,0.92,0.88,0.88,nodes:GAP:others,-0.83,-0.02,-0.94,-0.93,-0.19,spearman:GAP:pearson,0.42,0.47,0.36,0.9,0.89,edges:GAP:nodes,0.96,0.96,0.92,0.87,0.87,nodes:GAP:others,-0.83,-0.02,-0.93,-0.9,0.02
ER n=1000 p=0.01,-0.04,0.03,0.05,0.94,0.92,edges:GAP:nodes,0.96,0.96,0.96,0.91,0.91,nodes:GAP:others,-0.81,-0.05,-0.95,-0.95,-0.2,spearman:GAP:pearson,-0.02,0.06,0.04,0.92,0.9,edges:GAP:nodes,0.95,0.95,0.96,0.9,0.91,nodes:GAP:others,-0.8,-0.05,-0.95,-0.94,0.02
WS n=1000 k=2 p=0.5,0.92,0.92,0.89,0.96,0.96,edges:GAP:nodes,0.89,0.89,0.63,0.69,0.69,nodes:GAP:others,-0.49,nan,-0.93,-0.76,nan,spearman:GAP:pearson,0.85,0.85,0.85,1,1,edges:GAP:nodes,0.86,0.86,0.76,0.82,0.82,nodes:GAP:others,-0.26,nan,-1,-0.37,nan
WS n=1000 k=8 p=0.5,0.18,0.7,0.22,0.95,0.65,edges:GAP:nodes,0.79,0.93,0.8,0.89,0.86,nodes:GAP:others,-0.54,-0.05,-0.96,-0.88,0.12,spearman:GAP:pearson,0.18,0.76,0.21,0.94,0.63,edges:GAP:nodes,0.82,0.93,0.82,0.91,0.87,nodes:GAP:others,-0.57,-0.06,-0.96,-0.88,0.21
WS n=1000 k=10 p=0.5,0.1,0.69,0.14,0.95,0.61,edges:GAP:nodes,0.77,0.92,0.79,0.91,0.87,nodes:GAP:others,-0.47,-0.05,-0.96,-0.89,0.15,spearman:GAP:pearson,0.11,0.74,0.14,0.95,0.59,edges:GAP:nodes,0.8,0.92,0.81,0.93,0.88,nodes:GAP:others,-0.5,-0.06,-0.97,-0.89,0.21
BA n=1000 m=2,0.74,0.74,0.78,0.99,0.99,edges:GAP:nodes,0.6,0.6,0.76,0.32,0.32,nodes:GAP:others,-0.77,-0.17,-0.92,-0.7,-0.21,spearman:GAP:pearson,0.51,0.51,0.35,0.69,0.67,edges:GAP:nodes,0.89,0.89,0.98,0.86,0.86,nodes:GAP:others,-0.91,-0.65,-0.99,-0.92,0.05
BA n=1000 m=4,0.33,0.35,0.38,0.98,0.98,edges:GAP:nodes,0.6,0.6,0.93,0.56,0.56,nodes:GAP:others,-0.83,-0.35,-0.94,-0.83,-0.12,spearman:GAP:pearson,0.17,0.2,-0.04,0.75,0.71,edges:GAP:nodes,0.89,0.89,0.99,0.88,0.89,nodes:GAP:others,-0.83,-0.79,-0.99,-0.92,0.1
BA n=1000 m=5,0.13,0.16,0.17,0.98,0.98,edges:GAP:nodes,0.63,0.64,0.95,0.61,0.61,nodes:GAP:others,-0.84,-0.41,-0.94,-0.86,0.02,spearman:GAP:pearson,-0.02,0.02,-0.2,0.77,0.72,edges:GAP:nodes,0.9,0.9,0.99,0.9,0.9,nodes:GAP:others,-0.78,-0.81,-0.99,-0.92,0.12
